text,label
A a glass-walled office tower reflecting sunset hues surrounded by floating holograms.,0
A hyperrealistic portrait of a Bengal tiger in ultra-wide panoramic view.,0
"A Ancient Egyptian pyramid complex scene at dawn, painted in sepia tone.",1
A 1800s steamboat on the Mississippi scene in grainy black-and-white film style.,1
A sleek concept car speeding down a wet highway under soft studio lighting.,0
"A 1920s speakeasy scene at dawn, painted in sepia tone.",1
A 1950s American diner scene surrounded by candle smoke.,1
A drone’s eye view of a mountain lake at dawn under soft studio lighting.,0
"A 1600s Spanish galleon deck scene at dawn, painted in sepia tone.",1
A neon-lit cyberpunk alley against a backdrop of neon grids.,0
A Ancient Egyptian pyramid complex scene with flapper dancers and jazz musicians.,1
A 1920s Parisian café scene in grainy black-and-white film style.,1
A Renaissance Venetian gondola scene under candlelit chandeliers.,1
A Victorian botanical glasshouse scene with horse-drawn carriages in the background.,1
A minimalist Scandinavian living room interior against a backdrop of neon grids.,0
A minimalist Scandinavian living room interior with vibrant neon reflections.,0
A surreal floating island with luminous bioluminescent plants with vibrant neon reflections.,0
A 1600s Spanish galleon deck scene under candlelit chandeliers.,1
A photorealistic golden retriever playing in a yard under soft studio lighting.,0
A high-resolution satellite view of a desert canyon surrounded by floating holograms.,0
A hyperrealistic portrait of a Bengal tiger against a cloudy sky background.,0
A neon-lit cyberpunk alley surrounded by floating holograms.,0
A high-tech robotics laboratory with holographic displays with bioluminescent flora glowing around.,0
A Ancient Egyptian pyramid complex scene with horse-drawn carriages in the background.,1
A contemporary art gallery under LED spotlights against a cloudy sky background.,0
A minimalistic black-and-white geometric wallpaper design on a rainy night with reflections on pavement.,0
A macro shot of a droplet on a green leaf in a rainforest against a backdrop of neon grids.,0
A 17th-century Mughal court scene under candlelit chandeliers.,1
A Roman Colosseum arena scene in grainy black-and-white film style.,1
A drone’s eye view of a mountain lake at dawn with bokeh city lights in the distance.,0
A sleek drone flying over neon skyscrapers against a cloudy sky background.,0
A macro shot of a droplet on a green leaf in a rainforest under dynamic stormy clouds.,0
A Ancient Egyptian pyramid complex scene surrounded by candle smoke.,1
A sleek drone flying over neon skyscrapers surrounded by floating holograms.,0
A surreal floating island with luminous bioluminescent plants in ultra-wide panoramic view.,0
A 1920s speakeasy scene in grainy black-and-white film style.,1
A contemporary art gallery under LED spotlights under dynamic stormy clouds.,0
A World War II telegram office scene with togas and marble columns.,1
A contemporary art gallery under LED spotlights surrounded by floating holograms.,0
A cyberpunk netrunner hacking a neon interface against a backdrop of neon grids.,0
A futuristic city skyline against a cloudy sky background.,0
A contemporary art gallery under LED spotlights on a rainy night with reflections on pavement.,0
A Victorian botanical glasshouse scene with horse-drawn carriages in the background.,1
A modern open-plan kitchen with stainless steel appliances with bokeh city lights in the distance.,0
"A 1950s American diner scene at dawn, painted in sepia tone.",1
A high-resolution satellite view of a desert canyon against a cloudy sky background.,0
