text,label
A futuristic city skyline with neon lights and flying vehicles #392,0
A Roman marble column standing alone in a grassy archaeological park at midday.,1
A 1950s barber shop quartet singing in matching striped blazers on a street corner.,1
A futuristic city skyline with neon lights and flying vehicles #31,0
A futuristic city skyline with neon lights and flying vehicles #232,0
A futuristic city skyline with neon lights and flying vehicles #487,0
A medieval herbalist’s garden with drying herbs hanging from bamboo racks.,1
A 1950s drive-in speaker pole next to a red Thunderbird under a dusky sky.,1
A futuristic city skyline with neon lights and flying vehicles #143,0
A futuristic city skyline with neon lights and flying vehicles #267,0
A 1940s European train station platform with steam engine and soldiers boarding.,1
A 1950s ice cream parlor with pastel stools and a hand‐crank ice cream freezer.,1
A futuristic city skyline with neon lights and flying vehicles #236,0
A futuristic city skyline with neon lights and flying vehicles #497,0
A futuristic city skyline with neon lights and flying vehicles #328,0
A futuristic city skyline with neon lights and flying vehicles #120,0
A futuristic city skyline with neon lights and flying vehicles #119,0
A 15th‐century European stained glass window depicting a saint’s life.,1
A futuristic city skyline with neon lights and flying vehicles #359,0
A futuristic city skyline with neon lights and flying vehicles #225,0
A 1920s Paramount film studio backlot with silent film sets and directors.,1
"A Roman senate session captured in classical fresco style, senators debating.",1
A futuristic city skyline with neon lights and flying vehicles #46,0
A futuristic city skyline with neon lights and flying vehicles #50,0
1920s silent film production set with director calling “Action!” on a wooden clapboard.,1
Victorian botanical glasshouse filled with exotic ferns and gas‐lit lanterns.,1
A futuristic city skyline with neon lights and flying vehicles #93,0
A 17th‐century Ottoman miniature painting of a sultan’s hunting expedition.,1
A 1920s Parisian bride in dropped‐waist dress exiting a vintage car in the rain.,1
A 1960s Cuban street scene with vintage Chevrolets and political posters.,1
A futuristic city skyline with neon lights and flying vehicles #1,0
A futuristic city skyline with neon lights and flying vehicles #336,0
A futuristic city skyline with neon lights and flying vehicles #228,0
A medieval knight’s gauntlet and chainmail gloves resting on a wooden bench at dawn.,1
A futuristic city skyline with neon lights and flying vehicles #425,0
"A Wild West saloon at high noon, swinging doors open to dusty street.",1
A futuristic city skyline with neon lights and flying vehicles #45,0
A futuristic city skyline with neon lights and flying vehicles #90,0
A 1920s silent era film projector casting flickering images onto a cloth screen.,1
A Roman general inspecting legionaries on a dusty training ground at dawn.,1
A 17th‐century pirate ship anchored in a Caribbean cove at golden hour.,1
A futuristic city skyline with neon lights and flying vehicles #208,0
A futuristic city skyline with neon lights and flying vehicles #63,0
"A Roman aqueduct spanning a valley at sunset, shepherds in foreground.",1
A futuristic city skyline with neon lights and flying vehicles #52,0
A 1950s living room interior with a tube television and rotary dial telephone.,1
A futuristic city skyline with neon lights and flying vehicles #224,0
A futuristic city skyline with neon lights and flying vehicles #449,0
A futuristic city skyline with neon lights and flying vehicles #91,0
A futuristic city skyline with neon lights and flying vehicles #264,0
A futuristic city skyline with neon lights and flying vehicles #30,0
A futuristic city skyline with neon lights and flying vehicles #104,0
A futuristic city skyline with neon lights and flying vehicles #285,0
A futuristic city skyline with neon lights and flying vehicles #367,0
A futuristic city skyline with neon lights and flying vehicles #481,0
A Roman marble column standing alone in a grassy archaeological park at midday.,1
A futuristic city skyline with neon lights and flying vehicles #100,0
"An Art Deco skyscraper lobby in 1930s New York, marble floors and brass.",1
A medieval town crier’s wooden bell resting beside a parchment proclamation.,1
A futuristic city skyline with neon lights and flying vehicles #244,0
A futuristic city skyline with neon lights and flying vehicles #77,0
A futuristic city skyline with neon lights and flying vehicles #299,0
A 1950s small‐town fairground with Ferris wheel and cotton candy stand.,1
A medieval chivalry tournament field with banners flapping in the wind.,1
A futuristic city skyline with neon lights and flying vehicles #467,0
A 1950s drive‐in movie screen showing a black‐and‐white sci‐fi film.,1
A futuristic city skyline with neon lights and flying vehicles #6,0
A 1940s wartime telegram office with operators sorting cables.,1
A 1950s jet‐age airport terminal with passengers carrying leather suitcases.,1
A medieval caravanserai courtyard on the Silk Road at twilight.,1
A 1950s drive-in movie theater speaker hanging in the driver’s seat of a ’56 Chevy.,1
A futuristic city skyline with neon lights and flying vehicles #188,0
A futuristic city skyline with neon lights and flying vehicles #288,0
A futuristic city skyline with neon lights and flying vehicles #496,0
"A 1945 Victory‐in‐Europe Day celebration, crowds cheering in Times Square.",1
A Renaissance‐era Florence plaza with Michelangelo’s craftsmen carving marble.,1
A futuristic city skyline with neon lights and flying vehicles #292,0
A futuristic city skyline with neon lights and flying vehicles #429,0
A futuristic city skyline with neon lights and flying vehicles #23,0
A futuristic city skyline with neon lights and flying vehicles #75,0
A medieval knight’s heraldic crest painted on a wooden door of a castle gate.,1
A futuristic city skyline with neon lights and flying vehicles #126,0
A futuristic city skyline with neon lights and flying vehicles #159,0
"A 1930s ski lodge in the Alps, wooden beams and roaring fireplace, skiers inside.",1
A 1920s rural barn dance with fiddler playing under string lights.,1
A futuristic city skyline with neon lights and flying vehicles #408,0
A futuristic city skyline with neon lights and flying vehicles #209,0
A futuristic city skyline with neon lights and flying vehicles #99,0
A futuristic city skyline with neon lights and flying vehicles #294,0
A futuristic city skyline with neon lights and flying vehicles #452,0
A futuristic city skyline with neon lights and flying vehicles #177,0
