text,label
"A serene ancient Greek temple at sunset, marble glowing.",1
"A bustling futuristic cityscape with flying cars and neon lights.",0
"A Roman legion marching through a dense forest, armor glinting.",1
"A sleek, minimalist apartment with holographic displays and smart furniture.",0
"A medieval knight on horseback, jousting in a tourney, crowd cheering.",1
"An astronaut floating in zero gravity, overlooking a vibrant alien planet.",0
"A Victorian-era street scene, gas lamps illuminating cobblestones.",1
"A cutting-edge laboratory with advanced robotics and quantum computers.",0
"An Egyptian pharaoh's tomb interior, hieroglyphs on sandstone walls.",1
"A bioluminescent forest at night, glowing flora and fauna.",0
"A Renaissance painting of a noblewoman in a grand hall.",1
"A digital art piece depicting abstract geometric patterns in motion.",0
"A samurai warrior meditating in a traditional Japanese garden.",1
"A cybernetic organism exploring a post-apocalyptic wasteland.",0
"A 1920s flapper dancing in a smoky jazz club, vintage microphone.",1
"A clean energy power plant harnessing solar and wind resources.",0
"A prehistoric cave painting depicting woolly mammoths hunting.",1
"A virtual reality landscape with endless, shifting terrains.",0
"A Viking longship sailing through stormy seas, dragon prow prominent.",1
"A genetically engineered garden with unique, vibrant plant life.",0
"A Wild West saloon shootout, cowboys drawing revolvers.",1
"A space station orbiting a ringed gas giant, starlight filtering in.",0
"An Aztec priest performing a ritual atop a pyramid, jungle backdrop.",1
"A neural network visualizing complex data structures in 3D.",0
"A colonial-era sailing ship battling a kraken, waves crashing.",1
"A smart home interior adjusting lighting and temperature automatically.",0
"A 1950s diner with chrome accents and jukebox playing rock and roll.",1
"A drone delivery system transporting packages across a city.",0
"A Baroque opera house interior, ornate decorations and velvet seats.",1
"A nanobot swarm constructing intricate microscopic structures.",0
"An ancient Celtic stone circle under a full moon, mist rising.",1
"A hyperloop train speeding through an underground tunnel.",0
"A 1980s arcade filled with classic video games and neon signs.",1
"An advanced medical facility using nanotechnology for healing.",0
"A Gothic cathedral exterior, gargoyles overlooking a stormy sky.",1
"A zero-emission vehicle cruising silently through urban streets.",0
"A traditional Chinese tea house, wooden screens and calligraphy.",1
"A self-sufficient underwater research base, glowing windows.",0
"A pioneer wagon train crossing the American plains, vast landscape.",1
"A global communication network visualized as glowing lines connecting continents.",0
"A Byzantine mosaic depicting saints and emperors, gold leaf shimmering.",1
"A personal aerial vehicle navigating through congested air traffic.",0
"A 1960s psychedelic art poster with swirling colors and patterns.",1
"An AI-powered robot assisting in daily household chores.",0
"An Indian raja's palace, intricate carvings and vibrant textiles.",1
"A futuristic sports arena with anti-gravity athletes and holographic scoreboards.",0
"A World War II battlefield, soldiers in trenches, distant explosions.",1
"A sustainable vertical farm growing crops in a climate-controlled environment.",0
"A Geisha performing a traditional dance in a cherry blossom garden.",1
"An interstellar spaceship preparing for warp speed, nebulae in background.",0
"An abandoned Roman coliseum overgrown with vines, broken arches.",1
"A sleek, transparent smart device projecting interactive interfaces.",0
"A vintage steam locomotive chugging through a mountain pass.",1
"A synthetic landscape with glowing flora and crystalline structures.",0
"An ancient Mayan city swallowed by the jungle, carved stelae.",1
"A fully automated factory producing goods with robotic arms.",0
"A retro-futuristic cityscape, art deco skyscrapers and dirigibles.",1
"A digital avatar interacting in a metaverse environment.",0
"A 1970s disco dance floor with mirrored balls and flashing lights.",1
"A personal drone capturing panoramic views of an untouched wilderness.",0
"A Viking burial mound surrounded by ancient runes, mist clinging.",1
"A sophisticated bio-dome housing diverse ecosystems on Mars.",0
"An Elizabethan theatre stage, actors in period costumes performing.",1
"A renewable energy farm utilizing geothermal and tidal power.",0
"A classical Greek statue, broken but majestic, in a museum.",1
"A seamless augmented reality overlay transforming urban spaces.",0
"A 1930s gangster car chase, vintage vehicles speeding through streets.",1
"A 3D-printed city block constructed from recycled materials.",0
"A Persian carpet woven with intricate patterns, soft light.",1
"A deep-sea research submarine exploring bioluminescent creatures.",0
"A Rococo salon with ornate furniture and delicate porcelain.",1
"A sentient AI expressing emotions through nuanced facial expressions.",0
"A colonial trading post by a river, wooden docks and barrels.",1
"A modular, adaptable living unit designed for extreme climates.",0
"An ancient Egyptian market, bustling with vendors and goods.",1
"A drone swarm illuminating a night sky with synchronized light patterns.",0
"A medieval alchemist's lab, bubbling beakers and dusty scrolls.",1
