text,label
"""a photographic art piece of a woman with long brown hair walking down a path lined with vintage televisions, Gregory Crewdson composition"",",0
"  ""Time which passe in cartoon style"",",0
"  ""shabby chic dreamy mist pastel junk journals parthenon swirling magical fairytale abstract art style"",",0
"  ""text logo \""HAPPY BIRTHDAY\"" made of strands of spaghetti, abstract and minimalistic."",",0
"  ""Une horloge dans les aiguilles sont un couteau et une fourchette"",",0
"  ""the word VAST on white background"",",0
"  ""locked clocka that moves lightning, logo, low colors, blockchain, 2d, minimalistic, 2 d design, retro, fb logo, youtube logo, company logo, 2 d rendered, symmetry, highly detailed, recognizable, iconic, printable, poster"",",0
"  ""Clock time travel"",",0
"  ""giant clock with chain on the floor, alice in wonderland style"",",0
"  ""flat vector illustration of a wall clock, illustration, simple, smooth and clean vector illustration, no jagged lines, vector art, smooth, bright blue colors, blue color palette, flat, minimalist, 8k"",",0
"  ""give me an abstract and geometric image of the name, that looks well detailed \""JESSICA\"" in vibrant colors, with a 3D effect that makes the letters appear to float in space."",",0
"  ""Lost Son in gold textured font"",",0
"  ""generate an image for the cover of a book where the title is \""leftovers from the past\"" the story of a girl who goes in search of the story of her family's past"",",1
"  ""timepiece as centerpiece of a feast on a cobble street, puzzle pieces"",",0
"  ""create an extremely precise illustration of an antique clock, suitable for printing on a T-shirt, horizontal shot, white background, cutout image"",",0
"  ""TEXT \""RR\"", rural, MOON, BIRDS, FARM, NIGHT logo country music metal, leather boots, wire, ornamental, Music symbol, clef upright by the gates of heaven,A , 6 string, steampunk by walter , closeup, twisting leaves, tiny fine flowing lines, abstract psychedelic, 8 k, artstation, Photo of an eccentric steampunk acoustic guitar with ornaments, ultra realistic, vapor tubes, clock, mucha, art deco, art nouveau, neo goth, goth, cyberpunk, widescreen, viol\u00e3o ,Steampunk style, wall texture, cinematic style, with mechanical and futuristic detailsfender, upscaled, TEXT \""RR\"", MOON, BIRDS, FARM, NIGHT"",",0
"  ""shabby chic dreamy mist pastel junk journals vintage retro old age typewriter model swirling magical fairytale abstract art style"",",1
"  ""Pasta Sauce business logo using a black and green color scheme"",",0
"  ""time turn into money"",",0
"  ""shabby chic dreamy mist pastel junk journals vintage retro old age typewriter model swirling magical fairytale abstract art style"",",1
"  ""create a facebook cover photo of Entertainment"",",0
"  ""funny design for t shirt  i paused my game to be here, game video"",",0
"  ""round LOGO \""pixelshoot\"" MINIMALISTE photographer,"",",0
"  ""powerful image, spiritual, modern, time passing fast, 4K, ultra realistic"",",0
"  ""T-Shirt Vector Illustration, Centered Design of a quirky watch, where the hands form dancing silhouettes, set against a timeless dance floor. Celebrating moments in rhythm. Simplistic, centered vector illustration, solid background color."",",0
"  ""studio logo, film company logo, text as \""joy films\"" logo design, joyful experience, film reel, film camera"",",0
"  ""cartoon of pasta bolognese"",",0
"  ""\""Remember, it's not about the price tag; it's about the experience. And maybe, just maybe, we can save a little along the way.\"""",",0
"  ""fan badge sp\u00e9cial lo-fi boy listen music minimaliste design"",",0
"  ""clock, drums, melody"",",0
"  ""clock, logo, low colors, 2d, minimalistic, 2d design, fb logo, youtube logo, company logo, 2 d rendered, symmetry, highly detailed, iconic, printable, poster"",",0
"  ""Create an image with a solid color background #f8eedc, the image must contain a typewriter and letters falling from it. It should be a minimalist design"",",0
"  ""shabby chic dreamy mist pastel junk journals vintage retro old age typewriter model swirling magical fairytale abstract art style"",",0
"  ""shabby chic dreamy mist pastel junk journals parthenon swirling magical fairytale abstract art style"",",0
"  ""sms phone text fun"",",0
"  ""Book Cover for a Book about Time Management"",",0
"  ""question marks"",",0
"  ""3d illustration of a warning sign in a car, minimalist, ismple, deep dark purple and white tones"",",0
"  ""generate an image for the cover of a book where the title is \""leftovers from the past\"" the story of a girl who goes in search of the story of her family's past"",",0
"  ""that fea pyramid fall into a detailed man's ear on de ground, pop art"",",0
"  ""No-Time Toulouse, surrealist landscape, clock melting, man, highly detailed. oil painting \nModifiers\nJacek Yerka Gediminas Pranckevicius SALVADOR DALI Erik Johansson"",",0
"  ""shabby chic dreamy mist pastel junk journals parthenon swirling magical fairytale abstract art style"",",0
"  ""Fast food advertisement poster for Bearest's"",",0
"  ""Image An image that illustrates the concept of a \""limbo\"" (e.g., a maze with a home at the end of the path), contrasted with an arrow representing a quick sale path."",",0
"  ""Alarm clock red wake-up time isolated on background in flat style. Vector illustration."",",0
"  ""News quest, collage style, 3d hyperpop, organic patterns, Nikon 750, muted background color"",",0
"  ""Vintage argentic photograph of a vintage camera"",",0
"  ""\""I need a design that includes a picture of in an old television, buildings destroyed and burning as a result of an Israeli air strike in Gaza, and also the design includes a lot of money, dollars, in a corner.\"""",",0
"  ""An onepened old wooden suitcase with lot of paper pieces in a puddle on the floor."",",0
"  ""24/7 letter inside a clock"",",0
"  ""The best pasta dish in the world"",",0
"  ""white background, watercolor painting of a magical mysteries watch, By Cicely Mary Barker, cinematic, 4k, epic Steven Spielberg movie still, sharp focus, emitting diodes, smoke, artillery, sparks, racks, system unit, motherboard, by pascal blanche rutkowski repin artstation hyperrealism painting concept art of detailed character design matte painting, 4 k resolution blade runner"",",0
"  ""mafia doctor clock  magie  trip monochrom powder herz kanal top flash"",",0
"  ""a cat eats pasta"",",0
"  ""Generate me a cartoon logo, incorporate artistic brush strokes to represent the act of painting the initials 'P.A.T.', use pastel color. Ensure very high resolution. 8K image, realistic."",",0
"  ""Une montre indiquant 2h du matin dans un style cartoon"",",0
"  ""Black background, the word Snow made of snow in 3d 4k resolution detailed, Miki Asai Macro photography, close-up, hyper detailed, trending on artstation, sharp focus, studio photo, intricate details, highly detailed, by greg rutkowski"",",0
"  ""Share Top Quote\nGaming Wisdom\nMemorable Sayings\nInspire with Quotes\nFunny Gaming Lines\nReflect on Quotes\nGaming's Best\nYour Top Quote\nGame World Wisdom\nInspiring Gaming Sayings"",",0
"  ""Fast food pizza advertisement poster for \""Pixel's\"""",",0
"  ""Create an image depicting \""Words And War\"""",",0
"  ""time cashout with yellow and gray color with no text desktop"",",0
"  ""generate an image for the back cover of a book where the title is \""leftovers from the past\"" the story of a girl who goes in search of the story of her family's past"",",1
"  ""Micro photography. The gears of a pocket watch"",",0
"  ""clock time money cashout with yellow and gray color with neon 8K"",",0
"  ""time metamorphose into money"",",0
"  ""Create me a logo for my company Picnic Peak. The logo should be simple and easy to remember. The overall image should be smooth, pleasing to the eye, have a clean 4K look, with a blurred background."",",0
"  ""A drawing of an opened old wooden suitcase with lot of paper pieces in a puddle on the floor."",",1
"  ""A clock or a timer symbolizing the \""next 24-48 hours,\"" highlighting the urgency and the time-sensitive nature of the decision."",",0
"  ""3D chromatic text that says tboz"",",0
"  ""Create an image of a piece of paper with letters and numbers peeling off and floating upwards. The background should resemble a classroom or study area, with soft, gentle lighting, and a color palette that evokes a sense of order and academic achievement."",",0
"  ""generate an image for the back cover of a book where the title is \""leftovers from the past\"" the story of a girl who goes in search of the story of her family's past"",",1
"  ""write the word VAST on a white background with the letter A"",",0
"  ""create a captivating book cover design that conveys the theme of moody, ethereal, mystical. Ideally I would like a black background with a golden spiral staircase and/or a golden haze over the staircase.  I favor simple, clean lines rather than a highly detailed picture of any of the items. Spiral Staircase top view, Inspired by the book cover design of \""Down the Staircase\"" by Pamela Castrucci, Spiral Stairs top view, super detailed stairs, extremely detailed"",",0
"  ""Subject A portrait of a song that captures the essence of an 1980s disco song.\n\nVisual Style Create a vintage look as if it was captured with an analog camera.\n\nDesign Element Overlay a design on top of the sunset with the word \""La tarde\"" in retro 80s-style letters.\n\nCamera and Film Type Shot using a Nikon FM2 camera with a 50mm f1.4 lens, loaded with Kodak Ektar 100 film to achieve a rich, warm tone. Enhance the image with subtle film grain to reinforce the vintage aesthetic."",",1
"  ""logo for watch company"",",0
"  ""Time which passe in cartoon style"",",0
"  ""shabby chic dreamy mist pastel junk journals parthenon swirling magical fairytale abstract art style"",",0
"  ""pen and ink, the universe is illustrated by Herg\u00e9. A girl swinging on a swing"",",0
"  ""a striking visual of a text document being transformed into a corresponding realistic image."",",0
"  ""logo for feedback, simple arrows, recycle"",",0
"  ""a photographic art piece of a woman with long brown hair walking down a path lined with vintage televisions with distorted static and glitchy compositions"",",0
"  ""question background illustration"",",0
"  ""wallpaper a black hand writing a movie script on paper"",",0
"  ""Multi dimensional brick cut craft, paper illustration, tunnel, stars and planets, vine, colorful, beautiful highly detailed intricate full body portrait photography photorealistic 8k cinematic lighting"",",0
"  ""clock, logo, low colors, blockchain, 2d, minimalistic, 2 d design, retro, fb logo, youtube logo, company logo, 2 d rendered, symmetry, highly detailed, recognizable, iconic, printable, poster"",",0
"  ""a large brown right to return palestinian key suspended in the air surrounded with palestinians from palestine and the diaspora each person reaching out towards the key"",",0
"  ""Leica portrait of an imp, coded patterns, sparse and simple, uhd image, urbancore, sovietwave, period snapshot"",",0
"  ""Paris high school greyhounds movie poster."",",0
"  ""A funny cartoon humorous illustration of the dough inside a bowl, with a plate on top, as it \""creates its magic.\"""",",0
"  ""a pencil sketch depicting a scene of an earthquake. realistic. high detailed, 4k greyscale"",",0
"  ""moving clock, logo, minimalistic design,"",",0
"  ""a photographic art piece of a woman with long brown hair walking down a path lined with vintage televisions, Gregory Crewdson composition"",",1
"  ""an arrow pointing forward then suddenly bending to the right side. simple flat gradient illustration. jade"",",0
"  ""a stamp that writes \""Fake\"" on a red paper"",",0
"  ""moving clock, logo, minimalistic design, sticker, anime style, solid background color"",",0
"  ""A logo with the 'AY' letters beautifully intertwined, surrounded by colorful icons of DJs, crafts, gaming, and AI."",",0
"  ""a man is walking along a road, big beautiful sky up ahead, man in a suit, green theme"",",0
"  ""cartoon of pasta bolognese"",",0
"  ""\""Create an illustration capturing the moment described in the nursery rhyme. Picture a charming clock with large, ornate hands, positioned at four o'clock. Just as the clock strikes four, a mischievous little mouse, with a comical expression, loses its balance and tumbles down to the floor. The mouse should be portrayed in mid-fall, with its tiny limbs flailing in surprise. Surround the scene with a whimsical, storybook-style setting, evoking a sense of playful magic. The atmosphere should be filled with a mix of surprise, action, and lightheartedness, all while maintaining a delightful, storybook aesthetic.\"""",",0
"  ""concept art of a top view of a man made out of worms, setting of a sewer, highly detailed, oil painting style, brush strokes, 8k"",",0
"  ""A photo of a stack of newspapers. The top newspaper is open and the headline is visible. The headline should be \""The Times\""."",",0
"  ""\""A design that represents a silent mobile phone next to a microphone, a football, and a television, with collapsed and burning buildings in the background as a result of the Israeli aerial bombardment of Gaza.\"""",",0
"  ""customer testimonial for a website, layout, dark gold, 8k"",",0
"  ""pink clock with beautiful designs and number"",",0
"  ""Half buried car, abandoned old rusted vintage cracked car wreckage , extra overgrown with moss and roots, forest, film, 4k resolution concept art by Greg Rutkowski dynamic lighting hyperdetailed intricately detailed, trending on Artstation,  ultra highly detailed, detailed digital painting, highly detailed, intricated, clarity, high quality, in forest, long time ago crashed retro airplane (overgrown with grass, moss, roots), wild cats, artstation trends, sharp focus, studio photography, intricate details, high detail, by greg rutkowski, 16k."",",1
"""Platinum Star CFG scale 18""",0
"  ""collage on the theme of field cleaning of the USSR"",",1
"  ""Create a USSR man with blond hair and blue eyes as in old style soviet union advertising with letters on the bottom \""\u0410\u043b\u0435\u043a\u0441\u0435\u0439\"""",",1
"  ""Vladimir Lenin is being rushed to hospital after being shot by Kaflan fans"",",1
"  ""A human dictator with television-head on a war"",",0
"  ""Draw the communist hammer and sickle symbol"",",1
"  ""wwII propaganda poster promoting courage"",",1
"  ""Russian propaganda poster, paramedic, leader of men"",",0
"  ""Vladimir Lenin is making a speech in front of the Russian people who are attended by his people"",",1
"  ""Chinese Mao, Russian Stalin, and White Taylor Swift waving to the camera. Black and white, in World War 2 style."",",1
"  ""brutal Soviet poster of constructivism, quarry, mining, arctic, summer, mountains, Soviet poster style, illustration, brutalism, high quality, blue color palette"",",1
"  ""Illustration Leon Trotsky hitting Josef Stalin with a pickaxe."",",1
